"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 29 15:34:02 GMT 2025","Mon Sep 29 15:34:02 GMT 2025","65","","com.distributed_messenger.unit.services.MessageServiceUnitTest","","com.distributed_messenger.unit.services.MessageServiceUnitTest","getMessage should return message when it exists","getMessage should return message when it exists",""
"passed","Mon Sep 29 15:33:48 GMT 2025","Mon Sep 29 15:33:59 GMT 2025","10735","","com.distributed_messenger.unit.services.ChatServiceUnitTest","","com.distributed_messenger.unit.services.ChatServiceUnitTest","leaveChatNetwork should delegate call to p2pTransport","leaveChatNetwork should delegate call to p2pTransport",""
"passed","Mon Sep 29 15:33:41 GMT 2025","Mon Sep 29 15:33:41 GMT 2025","65","","com.distributed_messenger.unit.repositories.UserRepositoryUnitTest","","com.distributed_messenger.unit.repositories.UserRepositoryUnitTest","getAllUsers should return all added users","getAllUsers should return all added users",""
"passed","Mon Sep 29 15:34:03 GMT 2025","Mon Sep 29 15:34:03 GMT 2025","26","","com.distributed_messenger.integration.services.UserServiceIntegrationTest","","com.distributed_messenger.integration.services.UserServiceIntegrationTest","updateUser should return false for non-existent user","updateUser should return false for non-existent user",""
"passed","Mon Sep 29 15:34:02 GMT 2025","Mon Sep 29 15:34:02 GMT 2025","80","","com.distributed_messenger.unit.services.UserServiceUnitTest","","com.distributed_messenger.unit.services.UserServiceUnitTest","register should propagate exception from repository","register should propagate exception from repository",""
"passed","Mon Sep 29 15:34:03 GMT 2025","Mon Sep 29 15:34:03 GMT 2025","28","","com.distributed_messenger.integration.services.UserServiceIntegrationTest","","com.distributed_messenger.integration.services.UserServiceIntegrationTest","getUser should return null for non-existent id","getUser should return null for non-existent id",""
"passed","Mon Sep 29 15:33:41 GMT 2025","Mon Sep 29 15:33:41 GMT 2025","53","","com.distributed_messenger.unit.repositories.FileRepositoryUnitTest","","com.distributed_messenger.unit.repositories.FileRepositoryUnitTest","getFile with a non-existent id should return null","getFile with a non-existent id should return null",""
"passed","Mon Sep 29 15:33:59 GMT 2025","Mon Sep 29 15:34:01 GMT 2025","1860","","com.distributed_messenger.unit.services.MessageServiceUnitTest","","com.distributed_messenger.unit.services.MessageServiceUnitTest","getMessageHistory should return empty list when no history exists","getMessageHistory should return empty list when no history exists",""
"passed","Mon Sep 29 15:33:32 GMT 2025","Mon Sep 29 15:33:40 GMT 2025","8090","","com.distributed_messenger.unit.repositories.BlockRepositoryUnitTest","","com.distributed_messenger.unit.repositories.BlockRepositoryUnitTest","addBlock should save a block record","addBlock should save a block record",""
"passed","Mon Sep 29 15:33:59 GMT 2025","Mon Sep 29 15:33:59 GMT 2025","51","","com.distributed_messenger.unit.services.BlockServiceUnitTest","","com.distributed_messenger.unit.services.BlockServiceUnitTest","unblockUser should return true when successful","unblockUser should return true when successful",""
"passed","Mon Sep 29 15:34:06 GMT 2025","Mon Sep 29 15:34:06 GMT 2025","9","","com.distributed_messenger.unit.services.FileServiceUnitTest","","com.distributed_messenger.unit.services.FileServiceUnitTest","getUserFiles should return an empty list when user has no files","getUserFiles should return an empty list when user has no files",""
"passed","Mon Sep 29 15:33:41 GMT 2025","Mon Sep 29 15:33:41 GMT 2025","51","","com.distributed_messenger.unit.repositories.UserRepositoryUnitTest","","com.distributed_messenger.unit.repositories.UserRepositoryUnitTest","updateUser for non-existent user should return false","updateUser for non-existent user should return false",""
